DateTime,Open,High,Low,Close,Volume
2015-01-02 10:30:00,24.4096,24.4587,23.9325,24.141,56647682
2015-01-02 11:30:00,24.1421,24.2536,24.044,24.2504,28221918
2015-01-02 12:30:00,24.2491,24.4319,24.2458,24.3795,22651562
2015-01-02 13:30:00,24.3795,24.4052,24.2447,24.2982,16433201
2015-01-02 14:30:00,24.2993,24.3851,24.2781,24.3182,13778995
2015-01-02 15:30:00,24.3182,24.4172,24.2313,24.3673,28942535
2015-01-02 16:00:00,24.374,24.7906,24.2161,24.3138,12321371
2015-01-05 10:30:00,23.9816,24.1198,23.9281,23.9481,34425355
2015-01-05 11:30:00,23.9493,23.9727,23.7542,23.8262,38579780
2015-01-05 12:30:00,23.8255,23.8501,23.7297,23.7821,22463714
2015-01-05 13:30:00,23.7809,23.7988,23.6985,23.7216,18643099
2015-01-05 14:30:00,23.7207,23.7475,23.5,23.5502,33540697
2015-01-05 15:30:00,23.5491,23.7497,23.5246,23.6873,41586381
2015-01-05 16:00:00,23.6873,24.4263,23.6436,23.7319,34943716
2015-01-06 10:30:00,23.5491,23.8991,23.5201,23.6539,46075373
2015-01-06 11:30:00,23.6516,23.6657,23.3261,23.4733,39575553
2015-01-06 12:30:00,23.4733,23.7163,23.3799,23.7051,33050697
2015-01-06 13:30:00,23.7029,23.7274,23.4376,23.723,27438894
2015-01-06 14:30:00,23.723,23.8657,23.5959,23.8144,36756706
2015-01-06 15:30:00,23.8122,23.9504,23.6427,23.6828,52131227
2015-01-06 16:00:00,23.6895,23.7477,23.593,23.6942,7460252
2015-01-07 10:30:00,24.0395,24.122,23.9169,24.0418,32377273
2015-01-07 11:30:00,24.0418,24.0886,23.879,24.0676,22194728
2015-01-07 12:30:00,24.0685,24.0997,23.9972,24.0284,16093460
2015-01-07 13:30:00,24.0306,24.0685,23.9325,24.0329,12951525
2015-01-07 14:30:00,24.034,24.0685,23.9348,23.9548,16733793
2015-01-07 15:30:00,23.9548,24.0485,23.9392,24.0217,23367483
2015-01-07 16:00:00,24.0217,24.044,23.9143,24.0418,7089969
2015-01-08 10:30:00,24.4899,24.6147,24.4765,24.5951,38411826
2015-01-08 11:30:00,24.5969,24.8644,24.5902,24.8544,37928520
2015-01-08 12:30:00,24.8544,24.88,24.7262,24.8466,23905903
2015-01-08 13:30:00,24.8455,25.0026,24.8421,24.88,33003557
2015-01-08 14:30:00,24.8823,24.9915,24.8602,24.9558,22690662
2015-01-08 15:30:00,24.9558,25.0026,24.8733,24.9402,36363050
2015-01-08 16:00:00,24.9447,24.9848,24.3936,24.9804,19870100
2015-01-09 10:30:00,25.0227,25.0918,24.6749,24.8265,47781982
2015-01-09 11:30:00,24.8243,24.8265,24.5701,24.7775,29592474
2015-01-09 12:30:00,24.7775,24.9179,24.7574,24.7775,17515774
2015-01-09 13:30:00,24.7797,24.9001,24.7619,24.86,14856137
2015-01-09 14:30:00,24.8577,25.0339,24.8176,25.0249,21545465
2015-01-09 15:30:00,25.0249,25.1163,24.9268,24.9692,41646726
2015-01-09 16:00:00,24.9703,24.9848,24.7995,24.967,7790335
